% Sierra SPYHIS Output Mon Dec 23 11:57:07 2024
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 2.51221e-04,  3.69537e-26,  1.41056e-12,  1.48658e-12,  1.48957e-12,  2.44815e-12,  1.26730e-11,  4.36553e-11,  8.22827e-11,  1.83528e-10,  5.56116e-11,  7.54550e-10,  2.57870e-08,  2.57870e-08,  2.59570e-13,  5.53557e-13,  1.32494e-12,  2.84772e-12,  6.53988e-12,  1.42815e-11,  2.77112e-11,  3.76534e-11,  1.35901e-10,  8.43396e-10,  2.43868e-08,  0.00000e+00,  0.00000e+00,  4.87861e-08,  6.45504e-08,  1.08523e-07,  2.00660e-07,  4.11016e-07,  8.27117e-07,  1.53104e-06,  2.06418e-06,  5.60499e-06,  3.75293e-05,  1.10814e-03,  0.00000e+00,  0.00000e+00,  1.22326e-03,  3.84530e-06,  1.13752e-03,  3.35199e-07,  2.01208e+06
 5.00674e-04,  1.98232e-23,  6.32642e-09,  6.41075e-09,  1.41193e-08,  8.45036e-09,  1.58043e-08,  3.78892e-08,  1.03731e-07,  1.34919e-07,  9.23727e-08,  4.18143e-07,  1.67978e-05,  1.67978e-05,  5.45276e-09,  5.94437e-09,  7.19811e-09,  1.01608e-08,  1.62220e-08,  2.65442e-08,  4.22333e-08,  5.67480e-08,  4.80915e-08,  4.98854e-07,  1.59486e-05,  0.00000e+00,  0.00000e+00,  7.96435e-05,  8.78766e-05,  1.10089e-04,  1.61720e-04,  2.62526e-04,  4.29272e-04,  6.80742e-04,  9.24328e-04,  6.33586e-04,  7.19863e-03,  2.34725e-01,  0.00000e+00,  0.00000e+00,  5.30451e+01,  6.96685e-01,  5.12999e+01,  9.38195e-02,  2.01208e+06
 7.50126e-04,  5.07101e-17,  1.03849e-07,  6.26102e-08,  1.26028e-07,  7.04717e-08,  4.50108e-07,  8.60877e-07,  2.04388e-06,  2.78836e-06,  2.82049e-06,  4.79710e-06,  2.47186e-04,  2.47186e-04,  5.93365e-08,  7.11550e-08,  1.08168e-07,  1.85957e-07,  3.19979e-07,  5.30108e-07,  8.46300e-07,  1.19180e-06,  6.05495e-07,  6.57414e-06,  2.32176e-04,  0.00000e+00,  0.00000e+00,  3.63116e-04,  4.82006e-04,  8.66526e-04,  1.61532e-03,  2.84028e-03,  4.73081e-03,  7.58630e-03,  1.08973e-02,  6.13487e-03,  4.80621e-02,  1.81429e+00,  0.00000e+00,  0.00000e+00,  3.32997e+03,  9.60274e+01,  3.20164e+03, -3.95538e+00,  2.01208e+06
 1.00135e-03,  1.84299e-16,  3.12210e-07,  5.82612e-08,  2.31917e-08,  1.30924e-06,  3.56240e-06,  6.65626e-06,  1.32333e-05,  1.94172e-05,  2.19716e-05,  9.52592e-06,  1.21637e-03,  1.21637e-03,  1.91077e-07,  2.82143e-07,  5.72584e-07,  1.11195e-06,  1.97489e-06,  3.30266e-06,  5.32695e-06,  7.80074e-06,  5.20200e-06,  2.76467e-05,  1.12306e-03,  0.00000e+00,  0.00000e+00,  6.98167e-04,  1.32504e-03,  3.20282e-03,  6.49503e-03,  1.16397e-02,  1.95395e-02,  3.17090e-02,  4.74141e-02,  3.84509e-02,  1.25447e-01,  5.64723e+00,  0.00000e+00,  0.00000e+00,  3.49621e+04,  1.44425e+03,  3.33135e+04, -3.14853e+02,  2.01208e+06
 1.25080e-03,  1.91676e-16,  6.02395e-07,  2.72337e-07,  1.29702e-06,  5.86985e-06,  1.37633e-05,  2.55928e-05,  4.79820e-05,  7.31382e-05,  9.28687e-05,  4.03796e-05,  3.59744e-03,  3.59744e-03,  4.11544e-07,  7.88844e-07,  1.90953e-06,  3.87182e-06,  6.94015e-06,  1.16596e-05,  1.89503e-05,  2.84581e-05,  2.38506e-05,  8.00438e-05,  3.24141e-03,  0.00000e+00,  0.00000e+00,  1.06330e-03,  2.93489e-03,  7.99582e-03,  1.65699e-02,  2.98258e-02,  5.02573e-02,  8.21243e-02,  1.25476e-01,  1.23208e-01,  3.57423e-01,  1.15954e+01,  0.00000e+00,  0.00000e+00,  1.64894e+05,  8.39882e+03,  1.55841e+05, -2.80039e+03,  2.01212e+06
 1.50025e-03,  2.33817e-16,  8.98906e-07,  1.30482e-06,  4.95429e-06,  1.67310e-05,  3.70810e-05,  6.87899e-05,  1.25714e-04,  1.90646e-04,  2.84344e-04,  3.36998e-04,  8.08986e-03,  8.08986e-03,  7.21341e-07,  1.81022e-06,  4.81192e-06,  9.92714e-06,  1.78533e-05,  3.00653e-05,  4.90724e-05,  7.44405e-05,  7.85788e-05,  2.65911e-04,  7.01512e-03,  0.00000e+00,  0.00000e+00,  1.43565e-03,  5.52233e-03,  1.58208e-02,  3.30357e-02,  5.95311e-02,  1.00424e-01,  1.64491e-01,  2.48628e-01,  3.59381e-01,  1.32790e+00,  1.86658e+01,  0.00000e+00,  0.00000e+00,  5.11255e+05,  3.02925e+04,  4.79483e+05, -1.21965e+04,  2.01225e+06
 1.75145e-03,  3.60078e-16,  1.11883e-06,  3.52902e-06,  1.25535e-05,  3.75431e-05,  8.08716e-05,  1.49638e-04,  2.69349e-04,  3.87730e-04,  6.63842e-04,  1.38119e-03,  1.53952e-02,  1.53952e-02,  1.12757e-06,  3.62856e-06,  1.01372e-05,  2.10810e-05,  3.79586e-05,  6.39683e-05,  1.04747e-04,  1.53951e-04,  2.37124e-04,  7.97963e-04,  1.25629e-02,  0.00000e+00,  0.00000e+00,  1.84004e-03,  9.25823e-03,  2.71658e-02,  5.69111e-02,  1.02549e-01,  1.72778e-01,  2.84771e-01,  3.77671e-01,  9.54610e-01,  2.85113e+00,  2.52373e+01,  0.00000e+00,  0.00000e+00,  1.23400e+06,  8.25817e+04,  1.14869e+06, -3.66476e+04,  2.01257e+06
 2.00086e-03,  3.91003e-16,  1.19298e-06,  7.38789e-06,  2.56119e-05,  7.18273e-05,  1.52053e-04,  2.80312e-04,  4.88248e-04,  7.34297e-04,  1.01566e-03,  3.97226e-03,  2.59734e-02,  2.59734e-02,  1.63479e-06,  6.51436e-06,  1.87103e-05,  3.90693e-05,  7.03664e-05,  1.18436e-04,  1.95043e-04,  2.61458e-04,  5.36179e-04,  1.51218e-03,  1.95128e-02,  0.00000e+00,  0.00000e+00,  2.33154e-03,  1.42044e-02,  4.21870e-02,  8.85117e-02,  1.59363e-01,  2.67124e-01,  4.43194e-01,  5.27585e-01,  1.27908e+00,  2.27847e+00,  3.01925e+01,  0.00000e+00,  0.00000e+00,  2.49684e+06,  1.84936e+05,  2.30752e+06, -8.66142e+04,  2.01320e+06
