% Sierra SPYHIS Output Mon Dec 23 11:57:07 2024
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 2.51221e-04,  2.41624e-26,  1.85738e-26, -2.08990e-26,  7.16568e-22,  8.76322e-22, -9.20921e-22, -7.72782e-17,  0.00000e+00, -3.22488e-16,  2.06418e-28, -1.48949e-28,  2.34427e-09,  2.44080e-23,  2.63226e-24,  1.06222e-04,  5.74736e-19, -5.17262e-18,  4.40612e+00
 5.00674e-04,  1.74182e-23,  2.30674e-24,  9.17855e-24, -1.05534e-19,  9.80511e-20, -1.66866e-19, -2.43486e-14,  2.43486e-14, -9.00707e-14,  4.28916e-25, -1.03037e-26,  1.52707e-06,  1.42220e-20, -3.76635e-22,  2.25152e-02, -2.20698e-16, -3.67831e-16,  2.66143e+02
 7.50126e-04,  5.68067e-19,  1.11355e-19, -5.07068e-17,  4.04815e-14, -4.66149e-14,  1.10266e-12,  2.80544e-10, -1.52915e-08,  7.95658e-08,  2.08178e-21,  3.72362e-21,  2.24715e-05,  1.56769e-16, -2.93383e-17,  1.76852e-01, -2.39288e-10, -9.15104e-11,  1.04389e+03
 1.00135e-03,  1.38369e-17, -2.64167e-17, -1.81871e-16, -2.16646e-13, -9.09696e-13,  4.81374e-13,  1.07508e-07, -1.00151e-08, -2.53851e-09, -1.21574e-19,  5.31483e-20,  1.10579e-04,  3.15099e-15, -1.29027e-15,  5.64856e-01,  2.11211e-09,  1.76044e-09,  2.06761e+03
 1.25080e-03,  1.11635e-17,  6.70517e-18, -1.91233e-16, -4.69243e-13,  7.83467e-13,  3.01265e-13,  4.38433e-08,  4.99334e-08, -6.28127e-08, -1.78357e-19,  4.98984e-19,  3.27040e-04, -1.23228e-15,  6.19667e-15,  1.20874e+00, -2.37799e-10, -1.60463e-09,  3.09243e+03
 1.50025e-03,  9.52412e-17, -8.14079e-18, -2.13385e-16,  1.36222e-13,  6.71473e-13, -1.57061e-12, -3.73531e-08, -7.27484e-08, -6.29582e-08, -2.72728e-19,  7.97082e-19,  7.35442e-04, -9.82497e-15, -9.48493e-15,  2.09836e+00, -3.24315e-09, -2.73072e-09,  4.02858e+03
 1.75145e-03,  1.45983e-16, -4.20949e-17, -3.26456e-16,  2.74650e-13, -1.80876e-12, -2.03639e-12,  6.09714e-08, -7.24812e-08,  4.74296e-08, -8.45275e-19,  5.92532e-19,  1.39957e-03,  3.14110e-15,  9.70763e-15,  3.21583e+00,  3.42138e-09,  1.48562e-09,  4.85368e+03
 2.00086e-03,  1.81165e-16, -1.04614e-16, -3.30331e-16,  1.83878e-13, -2.77376e-12, -5.53086e-13, -1.48990e-07, -1.97843e-08,  2.89798e-08, -1.20992e-18,  1.12988e-18,  2.36122e-03, -4.10209e-15, -2.19508e-16,  4.51553e+00, -2.42792e-09, -1.79158e-10,  5.55450e+03
 2.25022e-03,  1.53119e-16, -8.92445e-17, -1.32165e-16, -7.30888e-13, -2.27925e-12,  4.17485e-13, -1.48708e-07,  1.64657e-07,  1.67624e-08, -1.97235e-18,  1.09896e-18,  3.66752e-03, -1.53077e-15, -8.03148e-15,  5.97590e+00,  3.23710e-10,  2.76665e-09,  6.14526e+03
 2.50127e-03,  1.04373e-16, -2.28940e-16, -1.45629e-16, -2.54104e-12,  6.84767e-13, -6.77058e-13, -7.65328e-08,  3.99262e-08,  4.04457e-08, -2.88843e-18,  1.60581e-18,  5.36824e-03,  3.96311e-15, -3.33396e-15,  7.58238e+00, -7.02111e-10, -1.26305e-09,  6.64048e+03
 2.75045e-03,  7.79139e-17, -1.98603e-16, -1.83017e-16, -3.10647e-12,  1.22735e-12,  1.13554e-12,  9.11867e-08, -7.36269e-08, -7.60359e-08, -3.90716e-18,  1.73674e-18,  7.46957e-03, -3.27267e-15,  1.82812e-14,  9.28861e+00,  2.47798e-09, -2.53719e-09,  7.04343e+03
 3.00124e-03, -4.53183e-17, -1.71350e-16, -1.78810e-16, -5.76167e-13,  3.57433e-13, -1.69200e-12,  1.83742e-07,  7.95625e-08, -1.38324e-07, -4.85852e-18,  1.56071e-18,  1.00258e-02,  7.90603e-16, -4.76611e-15,  1.10972e+01,  1.31880e-09,  4.04413e-09,  7.36881e+03
 3.25004e-03, -8.55742e-17, -9.17359e-17, -2.60965e-16,  6.08702e-14, -6.42540e-13, -2.26044e-12,  2.04664e-07, -1.62052e-07,  8.63038e-08, -5.99874e-18,  1.74937e-18,  1.30192e-02, -3.66639e-15, -1.59916e-14,  1.29629e+01, -8.08743e-10,  2.60186e-09,  7.61968e+03
 3.50028e-03,  2.00957e-17, -1.72079e-16, -2.50749e-16,  5.13256e-12, -4.42758e-12,  7.47867e-13,  4.11767e-08, -9.41530e-09,  1.38590e-07, -6.89863e-18,  1.91587e-18,  1.65054e-02,  4.66344e-15,  1.91327e-14,  1.48941e+01, -1.15772e-09, -2.57749e-09,  7.80519e+03
 3.75012e-03,  1.68811e-16, -2.38389e-16, -1.82459e-16,  2.00251e-12, -1.95681e-12,  2.15984e-12, -1.00044e-07,  2.11769e-07, -5.80091e-08, -8.07073e-18,  1.85855e-18,  2.04733e-02, -3.20781e-15,  4.07825e-15,  1.68607e+01, -1.79704e-10,  7.41038e-10,  7.92776e+03
 4.00124e-03,  2.15366e-16, -2.06156e-16, -1.13163e-16, -3.20974e-13,  2.06578e-12, -2.95233e-13, -7.65916e-08,  1.37175e-07,  3.54839e-08, -8.95135e-18,  2.20551e-18,  2.49599e-02, -5.30591e-15, -4.60966e-16,  1.88606e+01,  8.72342e-10,  1.44426e-09,  7.99066e+03
 4.25003e-03,  2.22769e-16, -1.61297e-16, -6.44287e-17, -4.11533e-13,  2.38441e-12,  6.33359e-13,  2.41701e-08,  1.33799e-07, -5.93157e-08, -9.85090e-18,  2.80143e-18,  2.99014e-02,  2.13471e-15,  3.73505e-16,  2.08503e+01,  7.22130e-10,  1.18742e-09,  7.99465e+03
 4.50164e-03,  1.84387e-16, -8.06294e-17, -6.75628e-17, -1.70326e-12,  4.56386e-12, -3.10391e-13, -2.10424e-07,  6.55269e-08,  1.42928e-08, -1.11301e-17,  2.46398e-18,  3.54021e-02, -2.03972e-14,  5.31949e-17,  2.28563e+01, -4.86342e-10, -7.93243e-11,  7.93981e+03
 4.75077e-03,  1.42221e-16, -5.62384e-17, -1.37946e-16, -2.84016e-12,  3.96908e-12, -1.92712e-12, -2.05665e-08, -8.97991e-08,  2.34736e-08, -1.19677e-17,  2.76077e-18,  4.13434e-02,  1.10761e-14,  1.72618e-14,  2.48215e+01, -9.35620e-11, -4.17353e-09,  7.82588e+03
 5.00085e-03,  1.57072e-16, -7.21516e-17, -2.02360e-16, -2.10036e-12,  3.84460e-13, -1.96964e-12,  1.24637e-07, -1.21190e-07,  6.19936e-08, -1.26885e-17,  2.58289e-18,  4.77954e-02, -2.80918e-15, -1.52959e-14,  2.67580e+01, -1.64291e-09,  8.37237e-10,  7.64941e+03
 5.25009e-03,  9.71681e-17, -1.71590e-16, -2.08114e-16, -2.77782e-13, -5.02383e-12, -6.07253e-13,  9.76529e-08, -6.03377e-09, -5.79262e-09, -1.40373e-17,  3.01104e-18,  5.47014e-02,  1.21428e-14,  1.35840e-14,  2.86360e+01,  7.98479e-10,  3.11934e-09,  7.40764e+03
 5.50015e-03,  9.04588e-17, -3.35714e-16, -1.79923e-16, -1.64936e-12, -3.55074e-12,  2.61705e-12, -7.67965e-08,  1.56635e-07,  2.45420e-07, -1.55218e-17,  3.52013e-18,  6.20924e-02,  4.64993e-15,  2.37605e-15,  3.04510e+01,  3.56206e-10,  1.58464e-09,  7.09361e+03
 5.75101e-03,  1.63717e-16, -4.19401e-16, -8.96719e-17,  5.89338e-13,  1.21477e-12,  2.80684e-12,  2.52228e-08,  1.43084e-07,  6.00747e-08, -1.68304e-17,  4.46829e-18,  6.99520e-02,  5.61712e-16, -2.71808e-15,  3.21831e+01,  2.84038e-09,  5.29695e-10,  6.69931e+03
 6.00092e-03,  2.82874e-16, -2.75975e-16, -6.47394e-17,  2.65361e-12,  3.54320e-12,  7.26881e-13, -3.20856e-08,  1.30462e-08, -4.58439e-08, -1.78772e-17,  4.63143e-18,  7.82009e-02, -6.23100e-15,  1.91040e-14,  3.37998e+01, -1.70739e-10,  1.48611e-09,  6.21907e+03
 6.25163e-03,  3.03211e-16, -1.05627e-16, -1.60898e-17, -1.18720e-13,  7.95672e-13,  1.37512e-12, -7.31906e-08, -2.34825e-07, -5.06135e-08, -1.87479e-17,  5.62671e-18,  8.68657e-02, -1.17086e-14,  7.94324e-15,  3.52889e+01, -3.25998e-10,  2.02157e-09,  5.63919e+03
 6.50146e-03,  2.13484e-16, -1.27142e-16, -9.14303e-17, -1.93487e-12, -4.04798e-12,  1.02530e-12,  1.60044e-07, -1.58701e-07,  1.39765e-08, -2.00968e-17,  6.48603e-18,  9.58525e-02, -1.05822e-14,  8.62971e-16,  3.66150e+01, -6.02353e-10, -4.93800e-11,  4.95252e+03
