% Sierra SPYHIS Output Thu Jan  9 09:15:09 2025
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  1.16612e-27,  1.16612e-27,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 1.00126e-04,  4.97437e-33,  1.45999e-51,  1.04610e-47,  6.26618e-44,  2.71636e-40,  8.66396e-37,  2.06973e-33,  3.87921e-30,  6.41485e-27,  1.19853e-23,  1.19571e-20,  3.51809e-15,  3.51809e-15,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.10703e-15,  0.00000e+00,  3.43546e-47,  1.89558e-43,  6.48211e-40, -1.23821e-37,  9.72051e-33,  2.60337e-29,  5.11894e-26,  8.03339e-23,  1.41354e-19,  2.68605e-16,  2.04050e-14,  1.18937e-09,  0.00000e+00,  6.03270e-16,  2.38009e-22,  5.30716e-16,  9.90009e-28,  2.14451e+06
 2.00252e-04,  3.90786e-28,  1.58842e-26,  4.69284e-23,  2.28098e-19,  2.59410e-16,  1.71278e-15,  4.34468e-15,  9.90112e-15,  1.86640e-14,  3.37886e-14,  5.94170e-14,  1.40482e-09,  1.40482e-09,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -3.33067e-16,  8.88178e-16,  3.77476e-15,  7.54952e-15,  1.11022e-14,  2.15383e-14,  5.70655e-14,  2.07411e-09,  0.00000e+00, -2.28824e-22, -7.25388e-20, -1.15894e-17,  6.29706e-12,  6.68916e-12,  3.60250e-10,  5.44309e-10,  7.83194e-10,  1.01218e-09,  1.66809e-09,  3.94012e-09,  1.42069e-04,  0.00000e+00,  7.83525e-06,  3.77109e-11,  7.57166e-06,  3.69129e-16,  2.14451e+06
 3.00378e-04,  8.91530e-27,  2.38374e-14,  1.34623e-13,  4.20654e-13,  1.03867e-12,  1.97203e-12,  3.23092e-12,  5.32315e-12,  7.74445e-12,  1.10553e-11,  1.48467e-11,  1.86512e-07,  1.86512e-07,  2.22045e-15,  6.79456e-14,  2.14939e-13,  4.34541e-13,  7.43849e-13,  1.09868e-12,  1.50835e-12,  1.95954e-12,  2.55063e-12,  3.46279e-12,  8.17302e-12,  2.75366e-07,  0.00000e+00,  2.82890e-11,  2.76105e-09,  8.40103e-09,  1.67977e-08,  2.85268e-08,  4.16354e-08,  5.64062e-08,  7.15200e-08,  9.12017e-08,  1.20865e-07,  2.84807e-07,  9.44714e-03,  0.00000e+00,  3.40292e-02,  6.64076e-07,  3.34833e-02, -5.50161e-12,  2.14451e+06
 4.00503e-04,  1.54997e-25,  8.03900e-13,  3.37228e-12,  9.69424e-12,  2.32392e-11,  3.97747e-11,  6.38873e-11,  1.05655e-10,  1.44126e-10,  1.98498e-10,  2.55163e-10,  2.81877e-06,  2.81877e-06,  1.19682e-13,  1.29852e-12,  4.06652e-12,  8.09064e-12,  1.34543e-11,  1.94618e-11,  2.62810e-11,  3.28717e-11,  4.08349e-11,  5.36715e-11,  1.29983e-10,  4.16123e-06,  0.00000e+00,  3.75771e-09,  2.84482e-08,  9.00589e-08,  1.78846e-07,  2.95305e-07,  4.25602e-07,  5.74654e-07,  7.12643e-07,  8.76411e-07,  1.14937e-06,  2.83711e-06,  8.86213e-02,  0.00000e+00,  2.97599e+00,  1.51631e-04,  2.94734e+00, -1.06106e-08,  2.14451e+06
 5.00073e-04,  2.07094e-24,  5.33145e-12,  2.41615e-11,  6.79629e-11,  1.54225e-10,  2.49101e-10,  4.03262e-10,  6.70265e-10,  8.84276e-10,  1.21180e-09,  1.54847e-09,  1.66483e-05,  1.66483e-05,  1.21192e-12,  7.86904e-12,  2.50053e-11,  4.99014e-11,  8.21103e-11,  1.18356e-10,  1.60135e-10,  1.98423e-10,  2.43413e-10,  3.21198e-10,  8.14224e-10,  2.45729e-05,  0.00000e+00,  2.20917e-08,  1.16927e-07,  3.75906e-07,  7.53483e-07,  1.23293e-06,  1.77592e-06,  2.40869e-06,  2.97710e-06,  3.63650e-06,  4.82830e-06,  1.26365e-05,  3.65528e-01,  0.00000e+00,  5.05002e+01,  5.28754e-03,  5.01667e+01, -9.84478e-07,  2.14451e+06
 6.00199e-04,  7.58139e-25,  1.65272e-11,  8.85007e-11,  2.54634e-10,  5.68960e-10,  8.96721e-10,  1.46259e-09,  2.44424e-09,  3.17607e-09,  4.39356e-09,  5.66091e-09,  6.05569e-05,  6.05569e-05,  5.30909e-12,  2.85458e-11,  9.18796e-11,  1.84397e-10,  3.01194e-10,  4.34111e-10,  5.89113e-10,  7.29256e-10,  8.90277e-10,  1.18979e-09,  3.16448e-09,  8.93590e-05,  0.00000e+00,  6.53746e-08,  3.18355e-07,  1.03154e-06,  2.07950e-06,  3.37861e-06,  4.86964e-06,  6.62358e-06,  8.20024e-06,  9.97095e-06,  1.35091e-05,  3.73864e-05,  9.95915e-01,  0.00000e+00,  3.74542e+02,  6.99236e-02,  3.72692e+02, -2.56185e-05,  2.14451e+06
 7.00325e-04,  2.90848e-17,  3.25109e-11,  2.25757e-10,  6.80711e-10,  1.52069e-09,  2.37337e-09,  3.90259e-09,  6.55600e-09,  8.45953e-09,  1.18176e-08,  1.53981e-08,  1.63192e-04,  1.63192e-04,  1.47728e-11,  7.76104e-11,  2.50305e-10,  5.03163e-10,  8.17905e-10,  1.17968e-09,  1.60475e-09,  1.98549e-09,  2.41038e-09,  3.28248e-09,  9.09258e-09,  2.40725e-04,  0.00000e+00,  1.28692e-07,  6.95848e-07,  2.22799e-06,  4.47807e-06,  7.25095e-06,  1.04702e-05,  1.42782e-05,  1.76413e-05,  2.12549e-05,  2.96688e-05,  8.52481e-05,  2.11135e+00,  0.00000e+00,  1.68348e+03,  5.07461e-01,  1.67681e+03, -3.12601e-04,  2.14451e+06
 8.00450e-04,  2.00326e-16,  5.69301e-11,  4.85910e-10,  1.50753e-09,  3.36756e-09,  5.24445e-09,  8.67557e-09,  1.46020e-08,  1.87687e-08,  2.63500e-08,  3.46366e-08,  3.61040e-04,  3.61040e-04,  3.35469e-11,  1.75589e-10,  5.62018e-10,  1.12842e-09,  1.82911e-09,  2.64192e-09,  3.60077e-09,  4.44899e-09,  5.36039e-09,  7.48708e-09,  2.12030e-08,  5.32336e-04,  0.00000e+00,  2.46694e-07,  1.30814e-06,  4.12222e-06,  8.24539e-06,  1.33237e-05,  1.92841e-05,  2.63408e-05,  3.24979e-05,  3.87251e-05,  5.62072e-05,  1.61198e-04,  3.80658e+00,  0.00000e+00,  5.47648e+03,  2.48168e+00,  5.45797e+03, -2.33388e-03,  2.14451e+06
