% Sierra SPYHIS Output Thu Jan  9 09:15:09 2025
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 2.50315e-04, -1.99671e-28,  4.06183e-28, -3.57570e-27, -4.66976e-23, -2.26239e-24,  6.03312e-22, -1.44973e-18, -9.87785e-18,  1.92084e-16,  4.25928e-31, -8.05381e-33,  2.24676e-09,  1.98512e-26,  1.49161e-27,  1.04928e-04,  9.65879e-22, -6.39340e-22,  4.30836e+00
 5.00073e-04,  7.13891e-26,  1.49808e-25,  2.06428e-24,  2.05961e-21, -6.68759e-21, -1.26375e-20,  3.39680e-16, -2.31486e-15, -5.15417e-15,  2.01469e-27,  1.03087e-28,  1.51348e-06,  2.37051e-23,  4.11567e-24,  2.25167e-02,  7.95892e-20,  4.59003e-19,  2.64888e+02
 7.50388e-04,  5.44854e-25, -2.77856e-24, -3.80893e-17, -3.87428e-20,  1.13430e-20, -3.74628e-12,  1.99279e-14,  7.09051e-14, -7.02967e-08,  1.01758e-25,  2.59095e-26,  2.25182e-05,  9.03915e-22,  1.36482e-22,  1.77756e-01, -3.84385e-18,  1.34376e-17,  1.04556e+03
 1.00015e-03,  1.67818e-17, -5.14228e-18, -1.27596e-16,  3.34289e-13, -8.50852e-13, -6.45743e-13, -2.71639e-08, -4.33368e-08, -4.08543e-09, -9.82798e-23,  1.34339e-23,  1.09900e-04, -7.37089e-18, -1.02593e-17,  5.63628e-01,  7.28451e-13, -1.47322e-12,  2.06308e+03
 1.25046e-03, -3.75706e-17, -2.43013e-16, -1.70769e-16, -2.38767e-12, -3.51771e-12, -3.16596e-12, -4.70472e-08,  5.72577e-08,  1.73254e-08,  8.12134e-22,  1.60724e-21,  3.26631e-04,  1.90264e-18,  7.41637e-18,  1.20957e+00,  7.26992e-13,  9.91655e-14,  3.09122e+03
 1.50022e-03, -1.42101e-17, -2.51695e-16, -2.07462e-16, -1.43926e-12,  4.67122e-12, -5.80436e-13,  4.11454e-08,  1.96083e-08, -1.25509e-07,  5.45646e-21,  5.00097e-21,  7.35383e-04,  3.89984e-18,  6.06931e-19,  2.10069e+00, -8.64911e-13,  2.33909e-12,  4.02913e+03
 1.75053e-03,  1.55313e-17, -3.35865e-17, -1.76803e-16,  3.60638e-13,  1.00755e-12,  2.59139e-12, -1.05485e-07, -2.58198e-07, -1.12841e-07,  1.29483e-20,  7.28039e-21,  1.39661e-03,  1.16548e-17,  2.81157e-17,  3.21432e+00,  8.42937e-13,  2.27934e-12,  4.85091e+03
 2.00029e-03, -8.11133e-19, -8.44383e-17, -1.11796e-16, -9.70283e-13, -8.27181e-12, -1.32280e-13, -9.36499e-08, -1.22899e-07, -2.59237e-07,  2.42382e-20,  9.85775e-21,  2.35865e-03,  2.17012e-17,  1.96710e-17,  4.51574e+00,  2.58146e-12,  3.94973e-12,  5.55342e+03
 2.25005e-03,  2.08478e-17, -4.43452e-16, -2.28459e-18,  2.45230e-13, -6.93275e-12, -1.57456e-12,  1.19517e-07,  2.21712e-07, -7.94817e-08,  3.99455e-20,  1.07820e-20,  3.66650e-03,  2.49096e-17,  1.51295e-17,  5.97857e+00,  1.85255e-12,  3.26793e-12,  6.14497e+03
 2.50036e-03, -1.19005e-16, -3.19669e-16, -2.00642e-17, -8.97032e-13,  1.00128e-11, -4.90292e-12,  2.13650e-07,  2.70884e-07,  6.78711e-08,  6.08440e-20,  1.09271e-20,  5.36136e-03,  4.24993e-17,  4.97948e-17,  7.58038e+00,  8.51271e-14,  4.65090e-12,  6.63928e+03
 2.75012e-03, -5.46270e-17,  1.06615e-17, -2.54615e-16,  4.20993e-12,  3.86368e-12, -3.21592e-12, -1.03002e-07,  1.33404e-07,  1.30392e-07,  9.03494e-20,  1.52562e-20,  7.46657e-03,  9.48192e-17,  5.13270e-17,  9.29060e+00,  1.40397e-12, -1.84127e-12,  7.04306e+03
 3.00044e-03, -2.07394e-17,  4.60214e-17, -2.68952e-16,  2.59555e-13, -4.49093e-12,  1.64675e-12,  1.86846e-08,  1.75696e-07,  1.61819e-07,  1.28408e-19,  2.17575e-20,  1.00169e-02,  1.69595e-16,  1.41089e-17,  1.10957e+01,  1.27593e-12,  3.21061e-12,  7.36808e+03
 3.25019e-03,  2.22579e-16, -2.40654e-16, -9.98332e-17,  1.45706e-12, -4.25116e-12,  7.78239e-12, -4.03366e-07,  2.38924e-07,  1.46048e-07,  1.79011e-19,  3.01224e-20,  1.30212e-02,  2.45442e-16,  4.67611e-17,  1.29688e+01,  1.64558e-13,  6.75060e-12,  7.61993e+03
 3.50051e-03,  1.90506e-16, -4.11492e-16,  1.55637e-16, -1.49412e-12, -1.81111e-13,  4.59805e-12, -1.75664e-07,  2.55162e-07, -3.22592e-07,  2.44050e-19,  3.72990e-20,  1.65088e-02,  2.45673e-16,  9.62046e-17,  1.49006e+01,  6.28678e-12,  3.93375e-12,  7.80537e+03
 3.75027e-03, -2.06715e-17, -2.05481e-16,  3.13749e-16, -3.80127e-12,  6.14820e-12, -3.04667e-13, -2.64775e-08,  2.07555e-09, -3.05884e-07,  3.24709e-19,  4.48494e-20,  2.04758e-02,  2.11299e-16, -4.18090e-17,  1.68666e+01, -3.10800e-12,  1.91691e-12,  7.92793e+03
 4.00002e-03, -1.19739e-16, -2.55685e-17,  2.66479e-16, -3.76685e-12,  6.01921e-12, -3.79921e-12,  8.88179e-08,  1.53521e-07, -2.85299e-07,  4.14234e-19,  5.30972e-20,  2.49369e-02,  3.69510e-16,  2.80312e-17,  1.88556e+01, -1.32425e-12,  2.66725e-12,  7.99048e+03
 4.25033e-03, -2.19714e-16,  2.09939e-16,  5.99030e-17, -4.04974e-15,  4.63012e-13, -4.16520e-12,  2.19909e-07,  4.97474e-08, -1.26811e-07,  5.08063e-19,  6.16295e-20,  2.99078e-02,  5.23105e-16,  6.96217e-18,  2.08575e+01,  4.46356e-12,  5.49535e-12,  7.99464e+03
 4.50009e-03, -1.34316e-16,  8.85605e-18, -4.77732e-17,  6.48159e-12, -2.92389e-12, -2.26815e-12, -2.29953e-07,  5.63144e-08,  1.23091e-07,  5.98565e-19,  6.74667e-20,  3.53665e-02,  4.08210e-16,  8.91787e-17,  2.28486e+01,  1.16930e-11,  7.58934e-12,  7.94027e+03
 4.75040e-03,  1.77121e-16, -1.40527e-16,  7.41459e-17,  3.12047e-12, -1.54580e-12,  3.54868e-12, -3.95039e-07,  2.66455e-08,  5.99062e-08,  6.87166e-19,  6.71170e-20,  4.13340e-02,  2.48872e-16, -2.78663e-17,  2.48232e+01,  8.33169e-12,  9.35402e-12,  7.82604e+03
 5.00015e-03,  1.98022e-16, -1.80114e-16,  2.24511e-16, -3.46556e-12,  3.26943e-12,  7.74799e-12, -1.68716e-07,  1.95160e-07, -4.91579e-07,  7.65611e-19,  6.42775e-20,  4.77766e-02, -2.36327e-18, -1.53001e-16,  2.67571e+01,  9.29108e-12,  2.20079e-12,  7.65001e+03
 5.25046e-03,  1.49575e-16, -6.65206e-17,  3.94057e-16, -6.80042e-12,  4.94436e-12,  1.63422e-12, -1.77911e-07, -8.04713e-08, -3.68982e-07,  8.29229e-19,  5.05038e-20,  5.47119e-02,  1.29040e-16, -1.60667e-16,  2.86431e+01, -8.12874e-12, -5.33808e-12,  7.40698e+03
 5.50020e-03, -2.71459e-17,  1.63989e-16,  3.68436e-16, -6.24288e-12,  1.16298e-13, -6.44754e-12, -2.22250e-08, -1.74265e-07, -2.41390e-07,  8.64689e-19,  2.09006e-20,  6.20940e-02,  3.93097e-16, -1.07319e-16,  3.04555e+01, -2.76797e-12, -2.12781e-12,  7.09346e+03
 5.75051e-03, -1.99300e-16,  1.67020e-17,  3.69719e-17, -3.78672e-12, -1.25367e-12, -7.52614e-12,  7.07003e-08, -6.15209e-08,  8.77164e-08,  8.69025e-19, -2.21002e-20,  6.99359e-02,  7.31192e-17, -1.62186e-16,  3.21837e+01,  1.12386e-11,  3.95366e-12,  6.70000e+03
 6.00025e-03, -2.18013e-16, -9.97709e-17, -2.87059e-16, -1.03478e-13, -4.19504e-12, -2.05667e-12,  2.10170e-07, -3.00150e-08,  2.20961e-07,  8.64338e-19, -8.11654e-20,  7.81782e-02, -4.62602e-16, -2.84055e-16,  3.37992e+01,  1.85207e-11,  1.03180e-11,  6.22042e+03
 6.25055e-03, -1.96277e-16, -2.29571e-16, -8.14363e-17,  5.22888e-12, -6.52558e-12,  8.38916e-12,  9.15773e-08,  3.17450e-07,  8.78156e-08,  8.37646e-19, -1.55325e-19,  8.68276e-02, -4.52390e-16, -4.41859e-16,  3.52861e+01, -5.88537e-13, -4.81460e-12,  5.64153e+03
 6.50029e-03,  9.68520e-17, -3.43188e-16,  4.56361e-16,  5.00795e-12,  3.25869e-12,  3.89118e-12, -3.44297e-07,  3.50287e-07, -3.10481e-06,  7.83006e-19, -2.53103e-19,  9.58094e-02, -1.28646e-16, -5.08266e-16,  3.66120e+01, -2.13965e-11,  2.01494e-11,  4.95557e+03
