% Sierra SPYHIS Output Tue Dec 24 12:35:36 2024
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 2.50101e-04,  2.02643e-28, -9.73105e-29,  1.02695e-27, -1.12684e-23,  5.55298e-24, -2.32331e-22, -6.15165e-19,  5.93082e-18, -1.35696e-16,  9.84051e-32,  3.75108e-31,  2.22428e-09,  5.66867e-27,  2.04929e-26,  1.04582e-04,  9.30652e-22, -1.24159e-21,  4.28371e+00
 5.00203e-04, -1.26952e-25, -2.94455e-26,  9.90762e-20,  2.21720e-21, -4.41502e-21, -7.04292e-14,  1.88333e-15,  5.42708e-16, -1.25707e-08, -7.40308e-29,  1.93812e-27,  1.51642e-06, -1.78333e-24,  4.12276e-23,  2.25855e-02, -1.46288e-18, -7.53117e-19,  2.65742e+02
 7.50010e-04,  4.07000e-25, -4.07073e-25, -4.23407e-17, -1.80332e-20,  3.15857e-20,  1.78740e-12,  9.14850e-15, -1.61262e-14, -8.44638e-08,  1.86680e-26,  8.88695e-26,  2.24511e-05,  1.53192e-22,  1.03391e-21,  1.77500e-01,  7.58574e-18,  1.99409e-17,  1.04355e+03
 1.00011e-03, -2.25516e-17, -3.53425e-17, -1.17560e-17,  9.92373e-13, -3.37079e-13,  4.61393e-13,  3.81232e-08,  2.91362e-08, -9.59754e-09,  5.54177e-23,  3.68370e-23,  1.09881e-04,  2.22801e-18, -1.79882e-18,  5.63828e-01, -5.06912e-15,  1.94686e-13,  2.06341e+03
 1.25021e-03,  3.92669e-17, -7.01136e-17, -1.93767e-17,  3.65676e-14,  6.27429e-13,  1.20193e-14, -6.59586e-08, -2.70473e-08,  9.46094e-08,  1.05401e-21,  5.08107e-22,  3.26332e-04,  4.03969e-18,  3.36756e-18,  1.20921e+00,  8.11033e-15,  3.54506e-13,  3.09122e+03
 1.50002e-03,  1.58339e-17, -5.61398e-17, -2.28528e-17, -7.10253e-13,  7.16276e-13,  4.47678e-13, -7.03164e-10,  5.22944e-08,  6.26365e-08,  3.19432e-21,  1.45793e-21,  7.34967e-04,  1.22849e-17,  2.84516e-18,  2.10042e+00, -2.11598e-13,  3.05171e-13,  4.02777e+03
 1.75012e-03, -4.09374e-17, -7.03945e-17,  1.64930e-17, -1.56480e-12,  2.56651e-12,  6.47396e-13, -7.77483e-08, -2.00512e-08, -1.65152e-07,  6.32569e-21,  1.63961e-21,  1.39529e-03,  1.92685e-17, -2.39465e-18,  3.21296e+00,  1.43413e-13,  4.24301e-13,  4.85022e+03
 2.00022e-03, -4.14568e-17,  9.30993e-18, -5.88721e-17, -1.48599e-12,  3.03615e-12, -2.25728e-12, -5.70892e-08,  5.88226e-08,  1.72844e-08,  9.84990e-21,  7.58389e-23,  2.35834e-03,  1.43873e-17, -6.77408e-18,  4.51609e+00, -3.21555e-13,  2.24687e-13,  5.55359e+03
 2.25003e-03, -1.17195e-16,  1.21609e-16, -2.02904e-16, -1.00143e-12,  1.95414e-12, -2.07406e-12,  8.36614e-08, -8.13897e-08,  1.10532e-07,  1.20512e-20, -4.08533e-21,  3.66638e-03,  5.26420e-18, -1.12032e-17,  5.97926e+00, -6.57454e-14,  1.33577e-13,  6.14482e+03
 2.50013e-03, -7.06753e-17,  9.79402e-17, -2.59580e-16,  1.51707e-12, -7.24374e-13,  2.86676e-12,  1.10678e-07, -7.52101e-08,  1.99366e-07,  1.19633e-20, -1.00031e-20,  5.35960e-03, -5.43771e-18, -2.43128e-17,  7.57971e+00, -3.29160e-13, -4.79509e-13,  6.63880e+03
 2.75023e-03,  9.48243e-19,  4.07596e-17, -1.02974e-16,  2.96585e-12, -3.58633e-12,  5.05068e-12,  1.23743e-09, -6.71346e-08, -1.66179e-07,  9.68651e-21, -1.71236e-20,  7.46760e-03, -1.52870e-17, -3.39554e-17,  9.29230e+00,  5.19989e-13,  8.38663e-13,  7.04364e+03
 3.00004e-03,  1.08637e-16,  6.85237e-17, -5.01471e-17,  2.44091e-12, -2.61743e-12, -1.53498e-12, -1.51467e-07, -4.13930e-08,  8.31648e-08,  5.05348e-21, -2.46634e-20,  1.00125e-02, -2.67405e-17, -4.94212e-17,  1.10938e+01, -1.65649e-13, -1.40694e-13,  7.36745e+03
 3.25014e-03,  9.28010e-17, -1.64013e-17, -1.73835e-16, -4.60886e-13, -2.01683e-12, -3.93287e-12, -7.09478e-08,  1.61103e-08, -1.96263e-07, -2.45301e-21, -3.26757e-20,  1.30205e-02, -5.21449e-17, -4.53508e-17,  1.29694e+01,  1.34834e-12, -1.65750e-14,  7.61994e+03
 3.50024e-03, -3.60438e-17,  1.11958e-17, -3.03638e-16, -4.86110e-12,  1.52870e-13, -6.32671e-13,  1.19705e-09,  6.84896e-08,  2.06712e-07, -1.25307e-20, -4.22832e-20,  1.65049e-02, -8.06983e-17, -9.41414e-18,  1.48996e+01, -1.02799e-12, -8.43679e-13,  7.80537e+03
 3.75005e-03, -2.34641e-16, -1.39055e-17, -2.60426e-16, -3.21971e-12,  1.13063e-12,  6.98294e-12, -1.60422e-09,  6.60839e-08, -2.23048e-08, -2.55283e-20, -5.30929e-20,  2.04722e-02, -5.70977e-17, -1.70367e-17,  1.68659e+01, -1.69426e-12,  1.42941e-13,  7.92767e+03
 4.00015e-03, -2.42229e-16,  1.55140e-16, -7.57243e-17,  1.97041e-12,  3.33578e-12,  4.24376e-12,  5.54757e-08,  2.76727e-08, -7.29700e-08, -4.14329e-20, -6.36109e-20,  2.49394e-02, -2.37796e-17, -6.77313e-17,  1.88577e+01, -1.30641e-12,  6.89659e-13,  7.99052e+03
 4.25025e-03, -1.07826e-16,  2.98973e-16, -3.56204e-17,  4.54755e-12,  6.52910e-13, -3.05862e-12,  1.29718e-08, -2.65060e-07, -3.15546e-07, -6.02179e-20, -7.39907e-20,  2.99061e-02, -2.89234e-17, -9.36236e-17,  2.08579e+01,  1.17254e-12, -2.97134e-13,  7.99464e+03
 4.50006e-03,  1.19894e-16,  1.69254e-16, -2.47431e-16,  4.89769e-12, -4.73035e-12, -6.52349e-12, -1.06642e-07, -2.06080e-07, -6.29875e-08, -7.95440e-20, -8.53422e-20,  3.53659e-02, -6.83997e-17, -6.54336e-17,  2.28495e+01,  2.23609e-12, -1.46441e-12,  7.94032e+03
 4.75016e-03,  2.21724e-16,  8.54318e-18, -4.34142e-16,  5.55487e-13, -2.58873e-12,  5.33091e-13, -1.15769e-07,  1.92574e-07,  8.40813e-07, -9.74904e-20, -9.91030e-20,  4.13282e-02, -7.38347e-17, -8.15078e-18,  2.48223e+01,  1.26685e-12, -1.78225e-12,  7.82619e+03
 5.00026e-03,  1.76527e-16,  6.05509e-17, -2.43145e-16, -3.23912e-12,  2.49052e-12,  1.66104e-12, -8.62875e-08,  1.60436e-07, -6.43882e-07, -1.13611e-19, -1.18975e-19,  4.77797e-02, -6.63425e-17, -2.29963e-17,  2.67590e+01,  3.09289e-12,  1.39993e-12,  7.64967e+03
 5.25007e-03,  6.08619e-17,  1.61581e-16, -3.51564e-16, -5.67376e-12,  4.05196e-12,  1.46482e-12,  1.37068e-07, -4.59042e-08,  3.26355e-07, -1.29092e-19, -1.39640e-19,  5.47009e-02, -5.33664e-17, -1.24027e-16,  2.86412e+01, -1.76592e-12,  2.39813e-12,  7.40787e+03
 5.50017e-03, -8.43996e-17,  1.87803e-16, -4.02231e-16, -4.90769e-12,  1.42401e-12, -5.35761e-13,  2.59449e-07, -2.47449e-07,  4.20926e-07, -1.40089e-19, -1.64902e-19,  6.20930e-02, -7.49451e-17, -1.74483e-16,  3.04562e+01,  1.56048e-12, -5.18957e-13,  7.09344e+03
 5.75003e-03, -2.10214e-16,  2.47373e-16, -4.40163e-16,  3.78072e-13, -1.16661e-12,  1.91361e-14,  2.93935e-07, -1.81908e-08,  4.22722e-07, -1.50706e-19, -1.93496e-19,  6.99206e-02, -3.02670e-17, -1.93169e-16,  3.21814e+01, -2.49744e-12,  1.51393e-12,  6.70163e+03
 6.00009e-03, -1.38003e-16,  1.29074e-16, -3.33229e-16,  4.34991e-12, -4.47814e-12,  2.06207e-12, -2.44992e-08, -1.56851e-07, -2.15214e-08, -1.58818e-19, -2.23726e-19,  7.81729e-02,  5.08449e-17, -6.10761e-17,  3.37991e+01, -3.46849e-12, -6.98589e-12,  6.22120e+03
 6.25005e-03,  2.99843e-17, -3.35022e-17, -2.38789e-16,  4.31502e-12, -5.23722e-12,  2.90969e-12,  2.42465e-08,  1.79342e-08,  1.65954e-07, -1.61002e-19, -2.58250e-19,  8.68101e-02,  1.32533e-16,  4.07048e-17,  3.52841e+01, -1.06343e-12,  1.18437e-12,  5.64390e+03
 6.50021e-03,  1.25283e-16, -5.65518e-17, -2.03297e-16,  1.67891e-12, -1.35577e-12, -5.44873e-13,  2.95222e-08,  1.50683e-07,  1.14988e-07, -1.58542e-19, -2.96222e-19,  9.58066e-02,  2.16944e-17, -6.60967e-17,  3.66124e+01,  9.98457e-12,  4.49300e-12,  4.95562e+03
