% Sierra SPYHIS Output Tue Dec 24 20:53:34 2024
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  1.90820e-16,  1.90820e-16,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 2.50160e-04,  5.13968e-25,  9.75850e-15,  2.66895e-13,  1.07150e-12,  2.85064e-12,  6.33039e-12,  1.28505e-11,  2.46236e-11,  4.57162e-11,  8.16633e-11,  9.31503e-11,  2.45348e-08,  2.45348e-08,  2.84217e-14,  1.09912e-13,  4.76508e-13,  1.17750e-12,  2.39408e-12,  4.51350e-12,  8.29448e-12,  1.51477e-11,  2.74312e-11,  4.35321e-11,  6.12088e-11,  8.91837e-08,  0.00000e+00,  1.48524e-09,  5.88293e-09,  3.03659e-08,  7.27901e-08,  1.45619e-07,  2.63907e-07,  4.65292e-07,  8.17836e-07,  1.43177e-06,  2.24659e-06,  2.60569e-06,  4.08696e-03,  0.00000e+00,  1.03148e-03,  6.27629e-06,  1.01063e-03,  3.13603e-08,  2.12013e+06
 5.00320e-04,  7.04271e-18,  9.41348e-11,  8.42280e-10,  2.92521e-09,  7.12524e-09,  1.44463e-08,  2.64861e-08,  4.57840e-08,  7.70063e-08,  1.28010e-07,  1.83249e-07,  1.67098e-05,  1.67098e-05,  1.74267e-11,  2.94444e-10,  1.25045e-09,  2.91067e-09,  5.41596e-09,  9.10904e-09,  1.47096e-08,  2.36464e-08,  3.86910e-08,  6.23033e-08,  2.81539e-08,  2.85835e-05,  0.00000e+00,  2.48275e-07,  5.16034e-06,  2.11209e-05,  4.89149e-05,  9.06947e-05,  1.51984e-04,  2.44435e-04,  3.91713e-04,  6.41744e-04,  1.05267e-03,  6.56287e-04,  2.99221e-01,  0.00000e+00,  4.88475e+01,  7.72337e-01,  4.78806e+01, -3.01618e-01,  2.12013e+06
 7.50126e-04,  2.25825e-17,  2.12407e-09,  1.77260e-08,  6.07436e-08,  1.46849e-07,  2.96039e-07,  5.39037e-07,  9.27114e-07,  1.55854e-06,  2.63223e-06,  4.36820e-06,  2.47188e-04,  2.47188e-04,  1.67506e-10,  6.07846e-09,  2.57240e-08,  5.97317e-08,  1.10676e-07,  1.84994e-07,  2.96680e-07,  4.75247e-07,  7.85935e-07,  1.35650e-06,  2.26117e-06,  1.41941e-04,  0.00000e+00,  9.56291e-07,  5.36097e-05,  2.27345e-04,  5.28404e-04,  9.78410e-04,  1.63352e-03,  2.61616e-03,  4.19025e-03,  6.96179e-03,  1.22983e-02,  2.88591e-02,  5.76350e-01,  0.00000e+00,  3.08391e+03,  6.99123e+01,  3.00799e+03, -3.38296e+01,  2.12013e+06
 1.00028e-03,  4.26305e-17,  1.29655e-08,  1.06046e-07,  3.61960e-07,  8.73162e-07,  1.75736e-06,  3.19316e-06,  5.48428e-06,  9.22688e-06,  1.57419e-05,  2.67050e-05,  1.20976e-03,  1.20976e-03,  6.15093e-10,  3.61434e-08,  1.52812e-07,  3.54656e-07,  6.56432e-07,  1.09517e-06,  1.75259e-06,  2.80636e-06,  4.67413e-06,  8.36513e-06,  2.08294e-05,  3.23100e-04,  0.00000e+00,  2.60763e-06,  2.08686e-04,  8.81996e-04,  2.04572e-03,  3.78448e-03,  6.30753e-03,  1.00813e-02,  1.61331e-02,  2.69460e-02,  4.92560e-02,  1.33031e-01,  8.84993e-01,  0.00000e+00,  3.18035e+04,  9.00161e+02,  3.08656e+04, -4.03524e+02,  2.12014e+06
 1.25008e-03,  5.77819e-17,  4.47289e-08,  3.62692e-07,  1.23582e-06,  2.97820e-06,  5.98857e-06,  1.08670e-05,  1.86402e-05,  3.13443e-05,  5.36014e-05,  9.19953e-05,  3.58781e-03,  3.58781e-03,  1.44478e-09,  1.23238e-07,  5.20970e-07,  1.20890e-06,  2.23612e-06,  3.72583e-06,  5.95169e-06,  9.51700e-06,  1.58779e-05,  2.90770e-05,  7.29018e-05,  5.76955e-04,  0.00000e+00,  3.91742e-06,  5.17196e-04,  2.18533e-03,  5.07134e-03,  9.37541e-03,  1.56038e-02,  2.48839e-02,  3.97230e-02,  6.62875e-02,  1.22516e-01,  3.52068e-01,  1.13744e+00,  0.00000e+00,  1.48952e+05,  4.93887e+03,  1.43892e+05, -1.78323e+03,  2.12022e+06
 1.50017e-03,  4.91927e-17,  1.13346e-07,  9.14906e-07,  3.11454e-06,  7.50134e-06,  1.50743e-05,  2.73274e-05,  4.68199e-05,  7.86296e-05,  1.34288e-04,  2.18568e-04,  8.08810e-03,  8.08810e-03,  2.46617e-09,  3.10077e-07,  1.31163e-06,  3.04362e-06,  5.62740e-06,  9.36701e-06,  1.49397e-05,  2.38467e-05,  3.97516e-05,  7.27097e-05,  1.35931e-04,  8.83135e-04,  0.00000e+00,  1.08583e-05,  1.00793e-03,  4.27132e-03,  9.91289e-03,  1.83213e-02,  3.04662e-02,  4.85139e-02,  7.72879e-02,  1.28479e-01,  2.35903e-01,  3.16492e-01,  1.29410e+00,  0.00000e+00,  4.58400e+05,  1.71869e+04,  4.40940e+05, -4.30362e+03,  2.12052e+06
 1.75015e-03,  4.96723e-17,  2.36730e-07,  1.90555e-06,  6.48337e-06,  1.56097e-05,  3.13562e-05,  5.68087e-05,  9.72561e-05,  1.63213e-04,  2.78965e-04,  3.48434e-04,  1.53492e-02,  1.53492e-02,  6.91213e-09,  6.43981e-07,  2.72779e-06,  6.33097e-06,  1.17029e-05,  1.94676e-05,  3.10183e-05,  4.94557e-05,  8.23483e-05,  1.50124e-04,  1.55721e-05,  1.21624e-03,  0.00000e+00,  3.18661e-05,  1.69404e-03,  7.19638e-03,  1.67088e-02,  3.08805e-02,  5.13320e-02,  8.16985e-02,  1.30071e-01,  2.16698e-01,  3.80149e-01,  3.77831e-01,  1.35579e+00,  0.00000e+00,  1.09061e+06,  4.52642e+04,  1.04485e+06, -5.79536e+03,  2.12138e+06
 2.00028e-03,  1.06678e-16,  4.33994e-07,  3.48675e-06,  1.18587e-05,  2.85445e-05,  5.73226e-05,  1.03809e-04,  1.77647e-04,  2.97976e-04,  5.11284e-04,  6.72894e-04,  2.59443e-02,  2.59443e-02,  1.98851e-08,  1.17421e-06,  4.98434e-06,  1.15719e-05,  2.13883e-05,  3.55636e-05,  5.66309e-05,  9.02676e-05,  1.50463e-04,  2.83042e-04,  8.42972e-04,  1.55867e-03,  0.00000e+00,  7.72363e-05,  2.57707e-03,  1.09878e-02,  2.55276e-02,  4.71718e-02,  7.83716e-02,  1.24662e-01,  1.98728e-01,  3.30926e-01,  5.80060e-01,  6.82212e+00,  1.39308e+00,  0.00000e+00,  2.18961e+06,  9.90367e+04,  2.08977e+06, -2.37142e+02,  2.12337e+06
 2.25025e-03,  1.16058e-16,  7.24775e-07,  5.81396e-06,  1.97673e-05,  4.75680e-05,  9.54917e-05,  1.72845e-04,  2.95665e-04,  4.96134e-04,  8.33039e-04,  1.67282e-03,  4.03448e-02,  4.03448e-02,  4.90672e-08,  1.94914e-06,  8.29859e-06,  1.92740e-05,  3.56181e-05,  5.91921e-05,  9.41869e-05,  1.50030e-04,  2.49584e-04,  4.12466e-04,  3.23924e-03,  1.91836e-03,  0.00000e+00,  1.65020e-04,  3.65397e-03,  1.56741e-02,  3.64374e-02,  6.73048e-02,  1.11692e-01,  1.77479e-01,  2.82419e-01,  4.50325e-01,  8.25618e-01,  1.13009e+01,  1.48043e+00,  0.00000e+00,  3.89841e+06,  1.89425e+05,  3.70781e+06,  2.28307e+04,  2.12727e+06
 2.50009e-03,  3.95447e-17,  1.12993e-06,  9.05038e-06,  3.07611e-05,  7.39998e-05,  1.48484e-04,  2.68563e-04,  4.58895e-04,  7.70914e-04,  1.31588e-03,  3.49243e-03,  5.89520e-02,  5.89520e-02,  1.08199e-07,  3.01668e-06,  1.28954e-05,  2.99655e-05,  5.53619e-05,  9.19295e-05,  1.46088e-04,  2.32533e-04,  3.93885e-04,  7.95042e-04,  5.81105e-03,  2.28778e-03,  0.00000e+00,  3.22193e-04,  4.92075e-03,  2.12691e-02,  4.94933e-02,  9.13790e-02,  1.51444e-01,  2.39519e-01,  3.79319e-01,  6.50403e-01,  1.84852e+00,  7.94143e+00,  1.45250e+00,  0.00000e+00,  6.35311e+06,  3.27465e+05,  6.02405e+06,  7.85107e+04,  2.13416e+06
 2.75014e-03,  3.00920e-17,  1.67197e-06,  1.33682e-05,  4.54218e-05,  1.09231e-04,  2.19058e-04,  3.95877e-04,  6.75559e-04,  1.12564e-03,  1.98448e-03,  5.74358e-03,  8.21340e-02,  8.21340e-02,  2.18969e-07,  4.42357e-06,  1.90078e-05,  4.41991e-05,  8.16381e-05,  1.35428e-04,  2.14949e-04,  3.39638e-04,  5.52892e-04,  1.03171e-03,  6.62684e-03,  2.63733e-03,  0.00000e+00,  5.84176e-04,  6.35716e-03,  2.77567e-02,  6.46813e-02,  1.19400e-01,  1.97504e-01,  3.12643e-01,  4.82083e-01,  8.57445e-01,  3.24756e-01,  2.42561e+00,  1.34246e+00,  0.00000e+00,  9.68132e+06,  5.24419e+05,  9.15486e+06,  1.87432e+05,  2.14537e+06
 3.00002e-03,  8.26019e-17,  2.37251e-06,  1.89240e-05,  6.42771e-05,  1.54526e-04,  3.09737e-04,  5.59275e-04,  9.54107e-04,  1.59826e-03,  2.61633e-03,  7.74962e-03,  1.10134e-01,  1.10134e-01,  4.12355e-07,  6.20625e-06,  2.68405e-05,  6.24701e-05,  1.15368e-04,  1.91221e-04,  3.03078e-04,  4.81694e-04,  8.34192e-04,  8.29780e-04,  4.40095e-03,  2.96500e-03,  0.00000e+00,  9.90666e-04,  7.93139e-03,  3.50636e-02,  8.18723e-02,  1.51120e-01,  2.49741e-01,  3.95998e-01,  5.58404e-01,  1.02876e+00,  6.02618e-01,  1.59349e+01,  1.30071e+00,  0.00000e+00,  1.39836e+07,  7.91781e+05,  1.31893e+07,  3.76433e+05,  2.16246e+06
 3.25034e-03,  7.89860e-17,  3.25701e-06,  2.58911e-05,  8.79076e-05,  2.11276e-04,  4.23295e-04,  7.63616e-04,  1.29674e-03,  2.16068e-03,  3.26145e-03,  8.79759e-03,  1.43254e-01,  1.43254e-01,  7.30195e-07,  8.40054e-06,  3.66136e-05,  8.53179e-05,  1.57578e-04,  2.60967e-04,  4.13316e-04,  6.51240e-04,  9.87307e-04,  1.09157e-03,  1.51007e-03,  3.29530e-03,  0.00000e+00,  1.58157e-03,  9.61710e-03,  4.31477e-02,  1.01017e-01,  1.86489e-01,  3.08825e-01,  5.15834e-01,  9.16201e-01,  5.44819e-01,  3.16605e+00,  2.93838e+01,  1.33774e+00,  0.00000e+00,  1.93568e+07,  1.14420e+06,  1.82096e+07,  6.80454e+05,  2.18729e+06
 3.50014e-03,  9.10916e-17,  4.34743e-06,  3.43962e-05,  1.16729e-04,  2.80496e-04,  5.61734e-04,  1.01222e-03,  1.72829e-03,  2.80885e-03,  4.31432e-03,  8.28959e-03,  1.81534e-01,  1.81534e-01,  1.22101e-06,  1.10220e-05,  4.84727e-05,  1.13113e-04,  2.08974e-04,  3.45440e-04,  5.42011e-04,  8.62571e-04,  1.34363e-03,  2.44781e-03,  1.01171e-02,  3.62891e-03,  0.00000e+00,  2.38457e-03,  1.13907e-02,  5.19689e-02,  1.22018e-01,  2.25389e-01,  3.72308e-01,  5.64468e-01,  6.32405e-01,  2.47238e+00,  7.42720e+00,  3.99812e+01,  1.32665e+00,  0.00000e+00,  2.58417e+07,  1.59721e+06,  2.42411e+07,  1.13983e+06,  2.22185e+06
