% Sierra SPYHIS Output Tue Dec 24 20:53:34 2024
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 2.50160e-04,  3.67477e-25, -3.59248e-25, -7.98544e-27,  1.68516e-20, -1.77604e-20, -2.07021e-21,  1.00284e-15, -8.13111e-16, -7.19095e-16,  1.19474e-26, -8.85274e-27,  2.23044e-09,  6.50519e-22, -4.74355e-22,  1.04701e-04, -1.99493e-17, -3.12250e-17,  4.29921e+00
 5.00320e-04, -4.02472e-18, -5.28314e-18,  2.34305e-18, -1.21397e-13,  1.04642e-13, -2.90152e-15,  4.60405e-08,  5.13477e-09,  1.29886e-09, -1.14813e-21,  7.93145e-22,  1.51907e-06,  8.19808e-17, -8.02825e-17,  2.26087e-02,  6.86606e-12,  3.01028e-10,  2.65742e+02
 7.50126e-04, -2.59457e-18, -4.80162e-18,  2.19131e-17, -3.26163e-13,  2.49911e-13,  6.44256e-13, -9.22435e-07, -1.34278e-07, -2.13414e-08,  3.07243e-17, -2.20032e-17,  2.24716e-05,  5.55213e-13, -3.00090e-13,  1.77589e-01,  3.14461e-07,  1.08394e-07,  1.04482e+03
 1.00028e-03, -9.39687e-18, -7.86834e-18,  4.08307e-17,  3.02604e-13,  6.65164e-13,  1.54636e-13,  1.67975e-06, -1.54620e-06,  1.84474e-08,  9.17524e-17, -6.58065e-17,  1.09978e-04,  5.15993e-13,  1.71110e-13,  5.64122e-01,  4.06836e-07,  3.49711e-07,  2.06427e+03
 1.25008e-03,  1.29232e-17,  1.21605e-17,  5.49897e-17, -6.96053e-13,  1.18725e-13,  1.50119e-13, -4.33526e-07,  5.84426e-07,  1.14671e-07,  2.66146e-16,  5.86191e-18,  3.26165e-04,  2.67204e-13, -8.83361e-14,  1.20869e+00, -6.23808e-07, -2.37460e-07,  3.08974e+03
 1.50017e-03,  2.02850e-17,  3.05327e-18,  4.47115e-17,  8.17671e-13,  6.59205e-13, -6.45313e-13,  1.25947e-07, -6.81475e-07, -1.24621e-08,  4.00698e-16,  2.08893e-17,  7.35282e-04,  2.44851e-13,  2.20603e-13,  2.10090e+00,  3.97353e-07,  1.04539e-07,  4.02932e+03
 1.75015e-03,  3.84635e-17, -1.07125e-17,  2.95490e-17,  9.05057e-13, -1.52247e-12, -5.71191e-13, -1.94734e-07, -9.21270e-08, -1.07835e-08,  4.76134e-16,  2.38460e-17,  1.39538e-03,  5.94372e-13,  1.72778e-13,  3.21296e+00, -2.25468e-07, -2.04300e-07,  4.85034e+03
 2.00028e-03,  9.94942e-17, -3.75818e-17,  8.28445e-18,  5.17373e-13, -3.02435e-13, -2.28238e-13, -3.87565e-07, -7.33092e-07,  1.13795e-08,  5.57715e-16,  3.89022e-17,  2.35858e-03,  4.56352e-13, -2.15737e-13,  4.51622e+00, -2.32310e-07, -5.47064e-08,  5.55359e+03
 2.25025e-03,  9.62887e-17, -6.47344e-17, -2.70910e-18, -1.57257e-12,  1.67739e-12,  7.63354e-14, -4.89599e-07,  2.80172e-07,  8.37095e-08,  5.68749e-16,  3.40485e-17,  3.66771e-03, -1.40675e-13,  6.57775e-14,  5.98044e+00,  3.85706e-07, -2.53728e-07,  6.14608e+03
 2.50009e-03,  3.02434e-17, -2.54779e-17, -1.63788e-20, -2.07522e-12,  1.76461e-12,  6.96195e-13, -1.67472e-07,  4.37619e-07,  2.98586e-08,  5.97406e-16,  4.05845e-17,  5.35928e-03,  2.07572e-13,  9.21030e-14,  7.57924e+00,  4.52200e-08,  8.78769e-08,  6.63850e+03
 2.75014e-03,  3.11616e-18,  2.52795e-18,  2.98233e-17, -2.06737e-13,  1.38893e-12,  7.73860e-13, -5.35383e-07, -1.47448e-06,  8.00414e-08,  6.48379e-16,  4.79702e-17,  7.46675e-03, -5.46067e-14,  3.11850e-14,  9.29146e+00,  3.10822e-07,  2.25308e-08,  7.04322e+03
 3.00002e-03, -1.49291e-17, -6.03871e-18,  8.10168e-17,  8.20279e-14,  7.98297e-13,  5.42391e-13, -7.62803e-07, -1.88974e-07,  1.86402e-07,  6.63725e-16,  1.12070e-17,  1.00122e-02,  4.24832e-14, -7.86561e-15,  1.10934e+01,  1.54401e-07, -2.93714e-08,  7.36741e+03
 3.25034e-03, -9.45161e-19, -1.46973e-17,  7.76008e-17, -1.29665e-12, -2.90175e-13,  2.99603e-14,  4.35290e-08, -6.90746e-07,  1.25315e-07,  6.38589e-16, -4.82769e-17,  1.30231e-02, -5.67466e-16, -1.32862e-13,  1.29707e+01,  1.80424e-07,  8.07995e-08,  7.62025e+03
 3.50014e-03, -1.05322e-17, -7.12725e-17,  5.57403e-17, -1.87170e-13, -7.69339e-13, -8.31237e-13, -3.92255e-07, -1.00995e-07, -2.15550e-07,  6.11666e-16, -8.21148e-17,  1.65033e-02, -4.46453e-13, -1.17992e-13,  1.48986e+01,  2.88213e-07,  2.96570e-07,  7.80519e+03
 3.75003e-03,  2.89758e-17, -1.45732e-16,  3.07362e-17,  2.02272e-12, -7.04823e-13, -1.20821e-12,  5.12529e-08,  7.85736e-07, -3.44252e-08,  5.89815e-16, -1.05193e-16,  2.04718e-02,  2.83097e-13,  1.57460e-14,  1.68656e+01,  1.72364e-07, -9.82513e-08,  7.92764e+03
 4.00002e-03,  1.00356e-16, -1.29608e-16,  2.86610e-18,  1.93603e-12,  2.74624e-12, -9.16226e-13,  5.60051e-06,  5.74427e-06, -7.42269e-08,  6.17373e-16, -1.40741e-16,  2.49369e-02,  2.04562e-13, -3.14235e-13,  1.88566e+01, -2.01357e-07, -9.60717e-08,  7.99047e+03
 4.25017e-03,  1.19941e-16, -1.10544e-16,  8.23186e-18, -1.53653e-12,  1.49863e-12,  9.77180e-13, -6.23956e-07,  2.76015e-07,  3.74814e-08,  6.14702e-16, -1.47672e-16,  2.99043e-02,  1.59630e-13,  2.93206e-13,  2.08571e+01,  1.81708e-07,  2.08557e-07,  7.99465e+03
 4.50029e-03,  9.90935e-17, -7.73222e-17,  3.67874e-17, -2.74422e-12,  9.26179e-13,  1.71945e-12,  4.33545e-07, -1.10545e-06, -4.14041e-08,  6.05574e-16, -1.39833e-16,  3.53711e-02,  4.45101e-14, -9.18370e-14,  2.28512e+01, -4.37223e-09,  2.11585e-07,  7.94006e+03
 4.75008e-03,  4.88524e-17, -1.03714e-16,  5.92077e-17, -7.99613e-13, -3.37630e-13,  1.26418e-12,  4.88078e-06,  4.40479e-07, -7.43809e-08,  6.35985e-16, -1.30920e-16,  4.13261e-02, -1.38490e-14,  8.96516e-14,  2.48216e+01, -6.35632e-07, -2.64365e-07,  7.82631e+03
 5.00011e-03,  3.36554e-17, -1.38213e-16,  6.93944e-17, -3.58116e-13, -2.36908e-13, -1.03309e-12, -4.15641e-07, -1.25769e-07, -1.11894e-07,  6.57096e-16, -1.24404e-16,  4.77756e-02,  8.51430e-14,  1.69267e-13,  2.67578e+01, -1.04613e-07, -3.26194e-07,  7.65007e+03
 5.25023e-03,  3.99690e-17, -1.94736e-16,  5.05274e-17, -1.62559e-13, -4.24808e-13, -1.63775e-12, -7.09427e-07,  1.01476e-07, -1.17247e-07,  7.73009e-16, -1.18907e-16,  5.47054e-02,  4.70909e-13,  1.60074e-13,  2.86424e+01,  1.44598e-07,  9.22133e-08,  7.40718e+03
 5.50022e-03,  6.74244e-17, -2.15616e-16,  2.63580e-17,  4.67083e-13,  1.25036e-12, -1.76149e-12, -1.64762e-06,  8.23002e-07, -8.03795e-08,  8.40917e-16, -1.44925e-16,  6.20945e-02,  8.18011e-13,  4.78588e-13,  3.04566e+01, -1.39702e-07, -5.00702e-07,  7.09322e+03
 5.75014e-03,  1.00865e-16, -1.53299e-16, -2.39455e-17,  4.19565e-13, -1.59462e-13, -1.38288e-12, -1.00146e-07, -2.89333e-07, -3.94829e-08,  9.21388e-16, -1.79842e-16,  6.99240e-02,  6.31436e-14, -4.66998e-13,  3.21821e+01, -1.31366e-07, -5.71355e-07,  6.70096e+03
 6.00007e-03,  1.06341e-16, -1.91992e-16, -3.13642e-17,  8.79353e-13, -1.42541e-12, -2.30495e-13, -8.84828e-07,  8.07191e-07,  9.41397e-09,  9.91647e-16, -2.39912e-16,  7.81721e-02,  3.30890e-13, -2.13321e-13,  3.37990e+01,  2.33182e-07, -3.28505e-07,  6.22138e+03
 6.25022e-03,  9.32541e-17, -2.17462e-16,  5.10733e-18, -7.08259e-13,  1.83034e-12,  1.51265e-12,  1.22917e-06, -8.60888e-07,  8.85602e-08,  9.77679e-16, -2.35630e-16,  8.68162e-02, -2.25201e-13,  5.64562e-14,  3.52851e+01, -1.07815e-07, -6.50346e-09,  5.64212e+03
 6.50011e-03,  1.39773e-16, -2.16335e-16,  9.19125e-17, -9.44012e-13, -2.49352e-12,  2.07008e-12,  5.56721e-06,  2.33267e-07, -3.29732e-08,  1.01132e-15, -2.64053e-16,  9.58030e-02,  3.60226e-13,  2.12822e-13,  3.66119e+01,  1.38462e-07,  3.21384e-07,  4.95677e+03
