% Sierra SPYHIS Output Wed Jan 22 08:33:48 2025
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  3.66374e-15,  3.66374e-15,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 1.00118e-04,  3.40162e-33, 8.33968e-131, 9.93096e-116, 2.45195e-101,  1.18117e-87,  1.01077e-74,  1.33546e-62,  2.23001e-51,  3.30550e-41,  5.33121e-32,  1.15207e-22,  5.07596e-15,  5.07596e-15,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  1.75415e-14,  0.00000e+00, 9.47548e-138, 1.05624e-122, 1.34992e-108,  3.51976e-94,  1.50312e-80,  1.63198e-66,  1.51994e-54,  1.25323e-44,  1.11481e-34,  1.58316e-24,  1.00709e-15,  4.19486e-09,  0.00000e+00,  5.57180e-16,  3.39934e-22,  5.40360e-16, -7.10230e-29,  2.14666e+06
 2.00110e-04,  2.75399e-28,  1.14293e-90,  7.88837e-80,  1.16871e-69,  3.45053e-60,  1.84047e-51,  1.59889e-43,  2.22001e-36,  7.83957e-30,  4.73484e-22,  1.94238e-16,  1.39107e-09,  1.39107e-09,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  3.55271e-15,  6.92292e-09,  0.00000e+00,  3.35163e-94,  2.54706e-84,  1.85190e-73,  2.55201e-63,  6.35261e-54,  2.75627e-44,  1.34096e-36,  1.63258e-30,  1.55839e-22,  2.28418e-15,  2.96171e-10,  4.81030e-04,  0.00000e+00,  7.16260e-06,  5.32876e-11,  7.10678e-06, -3.98226e-16,  2.14666e+06
 3.00102e-04,  6.51760e-22,  3.91442e-16,  3.92979e-15,  1.39962e-14,  3.61703e-14,  7.19539e-14,  1.25271e-13,  1.97303e-13,  2.90046e-13,  4.02568e-13,  6.01015e-13,  1.84744e-07,  1.84744e-07,  8.88178e-16,  2.22045e-15,  8.21565e-15,  1.64313e-14,  3.04201e-14,  4.46310e-14,  6.68354e-14,  9.01501e-14,  1.32783e-13,  2.32481e-13,  3.45057e-13,  9.19203e-07,  0.00000e+00,  1.66040e-10,  2.31542e-10,  6.16541e-10,  5.60049e-10,  1.83065e-09,  2.19368e-09,  2.68696e-09,  4.70683e-09,  3.57778e-09,  8.77478e-09,  1.23614e-08,  3.17788e-02,  0.00000e+00,  3.11513e-02,  9.39440e-07,  3.10360e-02, -3.07207e-11,  2.14666e+06
 4.00094e-04,  4.63708e-18,  1.17362e-14,  9.84287e-14,  3.31271e-13,  7.80222e-13,  1.49727e-12,  2.51777e-12,  3.85114e-12,  5.48769e-12,  7.32357e-12,  1.04827e-11,  2.79419e-06,  2.79419e-06,  6.66134e-16,  3.93019e-14,  1.50546e-13,  3.45945e-13,  6.08846e-13,  9.16600e-13,  1.25788e-12,  1.64935e-12,  2.19003e-12,  4.18732e-12,  5.79670e-12,  1.38963e-05,  0.00000e+00,  1.95205e-12,  1.16686e-09,  3.93462e-09,  7.94166e-09,  1.44873e-08,  2.06792e-08,  2.75750e-08,  3.62672e-08,  4.75042e-08,  9.42527e-08,  1.30355e-07,  2.97483e-01,  0.00000e+00,  2.72930e+00,  2.14707e-04,  2.72311e+00, -1.80875e-08,  2.14666e+06
 5.00086e-04,  2.84851e-17,  8.07124e-14,  6.48957e-13,  2.17822e-12,  5.09204e-12,  9.72512e-12,  1.62644e-11,  2.47352e-11,  3.50506e-11,  4.63688e-11,  6.57476e-11,  1.66517e-05,  1.66517e-05,  5.55112e-15,  2.67786e-13,  1.02784e-12,  2.26508e-12,  3.90443e-12,  5.85354e-12,  7.99316e-12,  1.03328e-11,  1.34515e-11,  2.71123e-11,  3.84650e-11,  8.27525e-05,  0.00000e+00,  9.28496e-10,  4.33031e-09,  1.53486e-08,  3.51261e-08,  6.07097e-08,  9.03143e-08,  1.23685e-07,  1.58380e-07,  2.04327e-07,  4.20687e-07,  6.18484e-07,  1.23345e+00,  0.00000e+00,  4.69914e+01,  7.61402e-03,  4.69144e+01, -1.28840e-06,  2.14666e+06
 6.00078e-04,  2.65232e-17,  3.10978e-13,  2.48946e-12,  8.33329e-12,  1.94419e-11,  3.70483e-11,  6.18103e-11,  9.37707e-11,  1.32583e-10,  1.74922e-10,  2.47116e-10,  6.04756e-05,  6.04756e-05,  2.46470e-14,  1.05072e-12,  3.96305e-12,  8.63953e-12,  1.48179e-11,  2.21336e-11,  3.01024e-11,  3.86531e-11,  4.98475e-11,  1.03216e-10,  1.59013e-10,  3.00219e-04,  0.00000e+00,  8.82567e-10,  1.31791e-08,  4.48229e-08,  9.90168e-08,  1.70536e-07,  2.55473e-07,  3.45927e-07,  4.41678e-07,  5.67493e-07,  1.19083e-06,  2.00965e-06,  3.35035e+00,  0.00000e+00,  3.47709e+02,  1.00215e-01,  3.47235e+02, -2.94254e-05,  2.14666e+06
 7.00071e-04,  5.78274e-17,  8.89460e-13,  7.00469e-12,  2.34109e-11,  5.45445e-11,  1.03770e-10,  1.72836e-10,  2.61759e-10,  3.69611e-10,  4.87490e-10,  6.87033e-10,  1.62828e-04,  1.62828e-04,  1.70752e-13,  3.07421e-12,  1.12175e-11,  2.42804e-11,  4.14417e-11,  6.17413e-11,  8.36560e-11,  1.06913e-10,  1.37085e-10,  2.86830e-10,  5.05186e-10,  8.07162e-04,  0.00000e+00,  1.52011e-08,  1.56104e-08,  9.72099e-08,  2.16950e-07,  3.81744e-07,  5.61094e-07,  7.57142e-07,  9.79121e-07,  1.24341e-06,  2.59844e-06,  5.38943e-06,  7.08341e+00,  0.00000e+00,  1.56096e+03,  7.24414e-01,  1.55894e+03, -3.35019e-04,  2.14666e+06
 8.00063e-04,  6.55032e-17,  2.14154e-12,  1.62281e-11,  5.40457e-11,  1.25708e-10,  2.38793e-10,  3.97102e-10,  6.00504e-10,  8.47047e-10,  1.11811e-09,  1.57234e-09,  3.60038e-04,  3.60038e-04,  7.22755e-13,  7.44471e-12,  2.62916e-11,  5.62494e-11,  9.55331e-11,  1.41800e-10,  1.91434e-10,  2.43570e-10,  3.10934e-10,  6.51219e-10,  1.36172e-09,  1.78147e-03,  0.00000e+00, -8.67858e-08,  4.46127e-08,  2.17827e-07,  4.37782e-07,  7.28096e-07,  1.07183e-06,  1.43656e-06,  1.83316e-06,  2.32449e-06,  4.82438e-06,  1.26080e-05,  1.27348e+01,  0.00000e+00,  5.07458e+03,  3.52886e+00,  5.06769e+03, -2.39940e-03,  2.14667e+06
