% Sierra SPYHIS Output Wed Jan 22 08:33:48 2025
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 1.00118e-04,  9.53970e-37,  2.37122e-36, -3.40162e-33, -8.56436e-31, -2.87247e-31, -7.00530e-28, -1.98877e-25, -2.53548e-25,  4.06418e-23,  1.31603e-38, -2.89912e-39,  3.19379e-16,  3.64267e-33, -1.34772e-33,  7.66221e-11,  2.37591e-28,  4.03771e-28,  1.89862e-05
 2.00110e-04,  2.73395e-30, -1.75431e-30, -2.75380e-28,  3.07057e-25, -2.32443e-25, -2.22628e-24, -3.07406e-20, -2.82481e-19, -1.39848e-17,  6.18138e-32, -1.24521e-32,  1.26461e-10,  5.14476e-27, -9.64706e-28,  8.78716e-06, -4.51514e-23,  4.03317e-22,  5.48940e-01
 3.00102e-04,  6.27633e-29,  2.15310e-28, -6.51760e-22,  7.01264e-24, -1.12670e-23,  7.20027e-16,  8.50767e-18, -8.72036e-18, -2.75929e-09,  3.02512e-29, -6.59766e-30,  1.67949e-08,  1.33557e-24, -2.96731e-25,  5.80691e-04,  6.85352e-20, -5.48781e-20,  1.70262e+01
 4.00094e-04, -3.69826e-19,  1.80145e-19,  4.61880e-18,  1.87209e-14, -6.60697e-14, -6.57318e-14,  1.32029e-08, -1.89989e-08, -3.44400e-08, -5.01395e-25, -4.26187e-25,  2.54017e-07, -1.16032e-19, -1.39870e-19,  5.43933e-03, -1.02740e-14,  3.95121e-15,  9.48737e+01
 5.00086e-04, -6.02619e-18, -2.02197e-17,  1.91377e-17,  6.93984e-15,  2.30505e-14, -1.24832e-13,  6.33559e-08,  1.06757e-08, -7.32414e-08, -4.63763e-26, -4.06000e-24,  1.51379e-06, -2.46996e-20, -1.30963e-19,  2.25770e-02,  8.26263e-16, -1.33218e-14,  2.65742e+02
 6.00078e-04,  2.33980e-18, -1.33070e-17,  2.28239e-17,  1.60247e-13, -2.63207e-13,  4.55772e-14, -5.80257e-09, -1.40138e-09, -8.05539e-10,  3.63785e-24, -1.18525e-23,  5.49778e-06,  7.35125e-20, -6.20516e-20,  6.14220e-02, -1.09534e-14, -7.75659e-15,  5.27555e+02
 7.00071e-04, -1.75738e-17, -5.10778e-17,  2.06454e-17, -3.61903e-13, -1.26986e-13,  7.39486e-13, -6.95492e-09,  2.55102e-08,  9.59491e-08,  2.37494e-24, -3.35147e-23,  1.48025e-05,  3.68736e-20, -2.61813e-19,  1.30145e-01, -9.10730e-14,  4.86713e-15,  8.59896e+02
 8.00063e-04,  2.93769e-18, -4.85164e-17,  4.39112e-17,  1.02186e-12,  3.22632e-13, -5.87475e-13, -3.17029e-08,  1.70963e-08, -1.25565e-08, -1.48661e-23, -7.21572e-23,  3.27307e-05, -4.47118e-19, -5.27959e-19,  2.34648e-01,  4.09938e-14,  7.39558e-14,  1.23938e+03
 9.00055e-04, -1.28450e-17, -4.13309e-17,  5.06365e-17, -9.58828e-13, -5.42344e-13,  1.81665e-13, -3.07181e-08, -4.40683e-08,  2.12470e-08, -5.22284e-23, -1.31961e-22,  6.30610e-05, -5.12360e-19, -4.63365e-19,  3.78602e-01,  4.12228e-15,  4.61796e-14,  1.64561e+03
 1.00005e-03, -1.88587e-17, -5.90779e-17,  6.49630e-17,  5.37643e-13,  7.94456e-13,  6.30635e-13, -2.03973e-08, -8.29622e-09,  9.83627e-09, -9.39531e-23, -2.03955e-22,  1.09844e-04, -4.98352e-20, -7.64879e-19,  5.63868e-01, -1.51254e-15,  2.84118e-14,  2.06292e+03
 1.10004e-03, -1.08126e-17, -3.26647e-17,  9.03567e-17, -8.35631e-14, -3.46144e-13,  1.04799e-13, -1.46632e-08, -6.72059e-09, -1.15545e-08, -1.36457e-22, -2.86439e-22,  1.77247e-04, -7.19574e-19, -7.67969e-19,  7.90959e-01, -5.56132e-14,  1.08785e-14,  2.48002e+03
 1.20003e-03, -2.49699e-17, -7.00714e-17,  8.56288e-17,  7.61167e-13, -2.38268e-13, -6.32972e-13,  5.28067e-09, -1.79412e-08,  4.93294e-08, -1.86485e-22, -3.82213e-22,  2.69435e-04, -1.08691e-18, -1.32953e-18,  1.05944e+00, -4.09830e-14, -1.32853e-14,  2.88920e+03
 1.30002e-03,  6.53421e-18, -3.78587e-17,  6.19243e-17, -3.49034e-13,  2.56132e-13,  4.34567e-13,  5.98853e-08,  1.85989e-08, -1.37782e-09, -2.52109e-22, -4.87989e-22,  3.90500e-04, -8.39879e-19, -1.39276e-18,  1.36826e+00,  7.53534e-14,  2.21589e-14,  3.28538e+03
 1.40002e-03, -2.03216e-17, -6.45156e-17,  8.95384e-17,  4.37725e-13,  4.20188e-13,  7.73876e-14,  3.65998e-09, -3.53263e-08, -4.93290e-09, -3.23634e-22, -6.00735e-22,  5.44401e-04, -7.30576e-19, -1.25074e-18,  1.71592e+00,  3.37582e-14,  4.87834e-14,  3.66530e+03
 1.50001e-03,  2.57085e-17, -1.94684e-17,  4.50327e-17,  2.38930e-13, -3.25870e-13, -6.38600e-13, -2.27137e-08,  4.17176e-08, -7.80378e-08, -3.98181e-22, -7.24025e-22,  7.34940e-04, -5.82848e-19, -9.98804e-19,  2.10070e+00,  7.44336e-15,  6.51571e-14,  4.02715e+03
 1.60000e-03,  4.42697e-18, -7.45540e-17,  6.56967e-17,  5.54122e-13, -2.50183e-13,  1.35144e-13,  1.18749e-09,  1.20081e-08,  5.09779e-09, -4.76820e-22, -8.62389e-22,  9.65735e-04, -9.01897e-19, -1.66788e-18,  2.52075e+00,  6.84780e-16, -5.89272e-14,  4.37002e+03
 1.70012e-03,  5.10087e-17, -8.02799e-18,  9.29079e-17, -5.49806e-14,  6.37795e-13,  7.31096e-13, -5.35930e-09, -5.58081e-08,  2.41017e-09, -5.76589e-22, -1.02350e-21,  1.24059e-03, -9.50000e-19, -2.29376e-18,  2.97472e+00, -2.41399e-14, -4.22094e-14,  4.69632e+03
 1.80011e-03,  2.23678e-17, -9.13715e-17,  4.74263e-17,  3.77379e-13, -1.18793e-12, -1.22717e-12, -5.14976e-08,  2.34187e-08,  4.66703e-08, -6.69905e-22, -1.17101e-21,  1.56205e-03, -5.61676e-19, -1.24140e-18,  3.45955e+00,  2.10356e-14,  3.64096e-14,  5.00078e+03
 1.90010e-03,  3.86600e-17, -1.57338e-17,  7.72589e-17, -2.97910e-13,  1.51649e-12,  3.98962e-13, -9.06055e-08,  7.00921e-09, -4.24277e-08, -7.19009e-22, -1.32401e-21,  1.93349e-03, -6.37788e-19, -8.44887e-19,  3.97387e+00, -4.78197e-14, -1.01026e-13,  5.28613e+03
 2.00009e-03,  1.20072e-17, -5.56956e-17,  3.99461e-17,  3.13895e-13, -1.62764e-12, -3.49779e-13,  1.75154e-08,  3.65806e-08, -6.85767e-09, -7.34023e-22, -1.50268e-21,  2.35775e-03,  5.28625e-19, -2.28313e-18,  4.51583e+00, -2.48531e-14,  5.96346e-14,  5.55322e+03
 2.10009e-03,  5.79631e-17, -3.64858e-17,  7.78012e-17,  8.21254e-14,  1.69686e-12,  8.93637e-13, -5.51949e-08, -6.23537e-08, -5.88727e-08, -7.55558e-22, -1.67338e-21,  2.83752e-03,  2.76124e-19, -2.46078e-18,  5.08364e+00, -6.34282e-14, -8.73622e-15,  5.80267e+03
 2.20008e-03,  3.04457e-17, -4.49407e-17,  4.84818e-17, -7.61172e-14, -2.19954e-12, -1.95188e-12, -7.65336e-08, -1.00289e-08, -3.63426e-08, -7.12328e-22, -1.85938e-21,  3.37528e-03, -1.67742e-19, -8.76418e-19,  5.67556e+00,  1.11870e-13, -1.39660e-14,  6.03515e+03
 2.30007e-03,  5.39491e-17, -4.18330e-17,  3.41112e-17, -2.99835e-14,  2.42164e-12,  1.86348e-12, -1.78847e-08,  9.75993e-08, -3.43600e-08, -5.83066e-22, -2.10333e-21,  3.97336e-03,  1.83412e-18, -9.77061e-19,  6.28993e+00,  2.29258e-14,  1.52717e-13,  6.25148e+03
 2.40006e-03,  5.23881e-17,  1.36612e-17,  1.03895e-16,  6.15917e-13, -1.86408e-12, -9.10549e-13,  2.90123e-08, -4.11321e-08, -1.84957e-08, -3.84147e-22, -2.30657e-21,  4.63394e-03,  2.48183e-18, -3.27121e-18,  6.92517e+00, -1.07024e-13,  4.60862e-14,  6.45228e+03
 2.50005e-03,  7.81445e-17, -1.07792e-16,  3.13506e-17, -1.08496e-12,  1.55569e-12,  9.08681e-14, -3.20235e-08,  6.61881e-08,  3.66156e-08, -1.05861e-22, -2.47730e-21,  5.35902e-03,  3.95425e-18, -2.85166e-18,  7.57976e+00, -6.04373e-14, -1.58049e-13,  6.63826e+03
 2.60005e-03,  3.50853e-17,  5.12266e-17,  9.24526e-17,  9.28441e-13, -5.95851e-13, -4.60555e-13, -3.52141e-08, -9.88170e-08, -5.25265e-08,  3.14137e-22, -2.71852e-21,  6.15045e-03,  4.72071e-18, -9.30978e-19,  8.25224e+00,  4.57014e-15, -3.40733e-14,  6.81006e+03
